filename,object,estimated_depth,true_depth
az_front_complex_artificial_close,hand_close,1.26536,0.422,1.1852619647979736
az_front_complex_artificial_close,cup_far,1.4265801,1.212,1.1852619647979736
az_front_complex_artificial_close,clock,1.4511391,1.364,1.1852619647979736
az_front_complex_artificial_close,glass_close,1.4072486,1.12,1.1852619647979736
az_front_complex_artificial_close,plant,1.4071003,1.223,1.1852619647979736
az_front_complex_artificial_close,glass_far,1.3849752,1.135,1.1852619647979736
az_front_complex_artificial_close,bottle,1.5028434,1.241,1.1852619647979736
az_front_complex_artificial_close,cup_close,1.3787985,1.119,1.1852619647979736
az_front_complex_artificial_close,bowl_close,1.4305052,1.141,1.1852619647979736
az_front_complex_artificial_close,bowl_far,1.451344,1.259,1.1852619647979736
az_front_complex_artificial_close,hand_close,1.2265878,0.422,0.1797475814819336
az_front_complex_artificial_close,cup_far,1.3066593,1.212,0.1797475814819336
az_front_complex_artificial_close,clock,1.3239862,1.364,0.1797475814819336
az_front_complex_artificial_close,glass_close,1.2666559,1.12,0.1797475814819336
az_front_complex_artificial_close,plant,1.265758,1.223,0.1797475814819336
az_front_complex_artificial_close,glass_far,1.2695079,1.135,0.1797475814819336
az_front_complex_artificial_close,bottle,1.3782803,1.241,0.1797475814819336
az_front_complex_artificial_close,cup_close,1.2698181,1.119,0.1797475814819336
az_front_complex_artificial_close,bowl_close,1.2996345,1.141,0.1797475814819336
az_front_complex_artificial_close,bowl_far,1.3662966,1.259,0.1797475814819336
az_front_complex_artificial_close,hand_close,1.3418915,0.422,0.18312406539916992
az_front_complex_artificial_close,cup_far,1.5263644,1.212,0.18312406539916992
az_front_complex_artificial_close,clock,1.6392605,1.364,0.18312406539916992
az_front_complex_artificial_close,glass_close,1.608441,1.12,0.18312406539916992
az_front_complex_artificial_close,plant,1.5820688,1.223,0.18312406539916992
az_front_complex_artificial_close,glass_far,1.6058354,1.135,0.18312406539916992
az_front_complex_artificial_close,bottle,1.6150178,1.241,0.18312406539916992
az_front_complex_artificial_close,cup_close,1.5365151,1.119,0.18312406539916992
az_front_complex_artificial_close,bowl_close,1.4718815,1.141,0.18312406539916992
az_front_complex_artificial_close,bowl_far,1.6967856,1.259,0.18312406539916992
az_front_complex_artificial_far,bowl_far,1.7091691,1.259,0.17364811897277832
az_front_complex_artificial_far,hand_far,1.5090402,1.039,0.17364811897277832
az_front_complex_artificial_far,cup_far,1.5372871,1.212,0.17364811897277832
az_front_complex_artificial_far,glass_far,1.550887,1.135,0.17364811897277832
az_front_complex_artificial_far,clock,1.6498104,1.364,0.17364811897277832
az_front_complex_artificial_far,glass_close,1.6213961,1.12,0.17364811897277832
az_front_complex_artificial_far,cup_close,1.5640798,1.119,0.17364811897277832
az_front_complex_artificial_far,plant,1.5330184,1.223,0.17364811897277832
az_front_complex_artificial_far,bowl_close,1.5559622,1.141,0.17364811897277832
az_front_complex_artificial_far,bottle,1.6079892,1.241,0.17364811897277832
az_front_complex_artificial_far,bowl_far,1.5263568,1.259,0.17383575439453125
az_front_complex_artificial_far,hand_far,1.4480538,1.039,0.17383575439453125
az_front_complex_artificial_far,cup_far,1.441116,1.212,0.17383575439453125
az_front_complex_artificial_far,glass_far,1.4866915,1.135,0.17383575439453125
az_front_complex_artificial_far,clock,1.4922918,1.364,0.17383575439453125
az_front_complex_artificial_far,glass_close,1.4787757,1.12,0.17383575439453125
az_front_complex_artificial_far,cup_close,1.3833164,1.119,0.17383575439453125
az_front_complex_artificial_far,plant,1.4239082,1.223,0.17383575439453125
az_front_complex_artificial_far,bowl_close,1.457288,1.141,0.17383575439453125
az_front_complex_artificial_far,bottle,1.7128417,1.241,0.17383575439453125
az_front_complex_artificial_far,bowl_far,1.502299,1.259,0.17659282684326172
az_front_complex_artificial_far,hand_far,1.4119133,1.039,0.17659282684326172
az_front_complex_artificial_far,cup_far,1.4861519,1.212,0.17659282684326172
az_front_complex_artificial_far,glass_far,1.4564363,1.135,0.17659282684326172
az_front_complex_artificial_far,clock,1.4884504,1.364,0.17659282684326172
az_front_complex_artificial_far,glass_close,1.4591658,1.12,0.17659282684326172
az_front_complex_artificial_far,cup_close,1.430206,1.119,0.17659282684326172
az_front_complex_artificial_far,plant,1.4199314,1.223,0.17659282684326172
az_front_complex_artificial_far,bowl_close,1.4519337,1.141,0.17659282684326172
az_front_complex_artificial_far,bottle,1.5089499,1.241,0.17659282684326172
az_front_complex_artificial_frame,bowl_far,1.7772597,1.259,0.18002581596374512
az_front_complex_artificial_frame,cup_far,1.7569791,1.212,0.18002581596374512
az_front_complex_artificial_frame,glass_close,1.7593378,1.12,0.18002581596374512
az_front_complex_artificial_frame,clock,1.8241352,1.364,0.18002581596374512
az_front_complex_artificial_frame,plant,1.8696095,1.223,0.18002581596374512
az_front_complex_artificial_frame,bowl_close,1.6426286,1.141,0.18002581596374512
az_front_complex_artificial_frame,glass_far,1.8290263,1.135,0.18002581596374512
az_front_complex_artificial_frame,bottle,1.869262,1.241,0.18002581596374512
az_front_complex_artificial_frame,cup_close,1.6978691,1.119,0.18002581596374512
az_front_complex_artificial_frame,bowl_far,1.3841408,1.259,0.18407583236694336
az_front_complex_artificial_frame,cup_far,1.3884671,1.212,0.18407583236694336
az_front_complex_artificial_frame,glass_close,1.3652676,1.12,0.18407583236694336
az_front_complex_artificial_frame,clock,1.404707,1.364,0.18407583236694336
az_front_complex_artificial_frame,plant,1.3578058,1.223,0.18407583236694336
az_front_complex_artificial_frame,bowl_close,1.3876445,1.141,0.18407583236694336
az_front_complex_artificial_frame,glass_far,1.3494877,1.135,0.18407583236694336
az_front_complex_artificial_frame,bottle,1.4487407,1.241,0.18407583236694336
az_front_complex_artificial_frame,cup_close,1.340537,1.119,0.18407583236694336
az_front_complex_artificial_frame,bowl_far,1.4813187,1.259,0.18011927604675293
az_front_complex_artificial_frame,cup_far,1.3567747,1.212,0.18011927604675293
az_front_complex_artificial_frame,glass_close,1.4555738,1.12,0.18011927604675293
az_front_complex_artificial_frame,clock,1.5036466,1.364,0.18011927604675293
az_front_complex_artificial_frame,plant,1.5347633,1.223,0.18011927604675293
az_front_complex_artificial_frame,bowl_close,1.335456,1.141,0.18011927604675293
az_front_complex_artificial_frame,glass_far,1.4665796,1.135,0.18011927604675293
az_front_complex_artificial_frame,bottle,1.4795892,1.241,0.18011927604675293
az_front_complex_artificial_frame,cup_close,1.3280864,1.119,0.18011927604675293
az_front_complex_artificial_medium,hand_medium,1.1625391,0.703,0.18666863441467285
az_front_complex_artificial_medium,bowl_far,1.7989254,1.259,0.18666863441467285
az_front_complex_artificial_medium,cup_far,1.5855505,1.212,0.18666863441467285
az_front_complex_artificial_medium,clock,1.6698833,1.364,0.18666863441467285
az_front_complex_artificial_medium,glass_close,1.6417359,1.12,0.18666863441467285
az_front_complex_artificial_medium,plant,1.6347693,1.223,0.18666863441467285
az_front_complex_artificial_medium,bottle,1.544482,1.241,0.18666863441467285
az_front_complex_artificial_medium,bowl_close,1.5300304,1.141,0.18666863441467285
az_front_complex_artificial_medium,glass_far,1.6193655,1.135,0.18666863441467285
az_front_complex_artificial_medium,cup_close,1.5841929,1.119,0.18666863441467285
az_front_complex_artificial_medium,hand_medium,1.1332326,0.703,0.1809520721435547
az_front_complex_artificial_medium,bowl_far,1.3961387,1.259,0.1809520721435547
az_front_complex_artificial_medium,cup_far,1.4373941,1.212,0.1809520721435547
az_front_complex_artificial_medium,clock,1.4423153,1.364,0.1809520721435547
az_front_complex_artificial_medium,glass_close,1.3686526,1.12,0.1809520721435547
az_front_complex_artificial_medium,plant,1.3682803,1.223,0.1809520721435547
az_front_complex_artificial_medium,bottle,1.3595203,1.241,0.1809520721435547
az_front_complex_artificial_medium,bowl_close,1.4246992,1.141,0.1809520721435547
az_front_complex_artificial_medium,glass_far,1.3642855,1.135,0.1809520721435547
az_front_complex_artificial_medium,cup_close,1.3895135,1.119,0.1809520721435547
az_front_complex_artificial_medium,hand_medium,1.2023506,0.703,0.18254518508911133
az_front_complex_artificial_medium,bowl_far,1.6597497,1.259,0.18254518508911133
az_front_complex_artificial_medium,cup_far,1.5119313,1.212,0.18254518508911133
az_front_complex_artificial_medium,clock,1.6480274,1.364,0.18254518508911133
az_front_complex_artificial_medium,glass_close,1.5617821,1.12,0.18254518508911133
az_front_complex_artificial_medium,plant,1.6130989,1.223,0.18254518508911133
az_front_complex_artificial_medium,bottle,1.4522668,1.241,0.18254518508911133
az_front_complex_artificial_medium,bowl_close,1.4847103,1.141,0.18254518508911133
az_front_complex_artificial_medium,glass_far,1.6064446,1.135,0.18254518508911133
az_front_complex_artificial_medium,cup_close,1.5411466,1.119,0.18254518508911133
